"","0","1","p","test"
"n","305","1555","",""
"age_cat (%)","","","   NaN",""
"   15"," 14 ( 4.6) ","  43 ( 2.8) ","",""
"   16"," 24 ( 7.9) ","  71 ( 4.6) ","",""
"   17"," 21 ( 6.9) ","  88 ( 5.7) ","",""
"   18"," 27 ( 8.9) ","  96 ( 6.2) ","",""
"   19"," 22 ( 7.2) "," 101 ( 6.5) ","",""
"   20"," 23 ( 7.5) "," 126 ( 8.1) ","",""
"   21"," 15 ( 4.9) "," 112 ( 7.2) ","",""
"   22"," 20 ( 6.6) "," 152 ( 9.8) ","",""
"   23"," 13 ( 4.3) "," 108 ( 6.9) ","",""
"   24"," 10 ( 3.3) ","  93 ( 6.0) ","",""
"   25"," 16 ( 5.2) ","  83 ( 5.3) ","",""
"   26"," 17 ( 5.6) ","  75 ( 4.8) ","",""
"   27","  9 ( 3.0) ","  67 ( 4.3) ","",""
"   28"," 13 ( 4.3) ","  64 ( 4.1) ","",""
"   29","  2 ( 0.7) ","  50 ( 3.2) ","",""
"   30","  2 ( 0.7) ","  32 ( 2.1) ","",""
"   31","  2 ( 0.7) ","  20 ( 1.3) ","",""
"   32","  3 ( 1.0) ","  24 ( 1.5) ","",""
"   33","  1 ( 0.3) ","   9 ( 0.6) ","",""
"   34","  1 ( 0.3) ","   6 ( 0.4) ","",""
"   35","  2 ( 0.7) ","   6 ( 0.4) ","",""
"   36","  0 ( 0.0) ","   4 ( 0.3) ","",""
"   37","  0 ( 0.0) ","   2 ( 0.1) ","",""
"   38","  0 ( 0.0) ","   2 ( 0.1) ","",""
"   39","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   40","  0 ( 0.0) ","   1 ( 0.1) ","",""
"   41","  0 ( 0.0) ","   1 ( 0.1) ","",""
